A42.89	1	Other forms of actinomycosis	Other forms of actinomycosis
A42.9	1	Actinomycosis, unspecified	Actinomycosis, unspecified
A43	0	Nocardiosis	Nocardiosis
A43.0	1	Pulmonary nocardiosis	Pulmonary nocardiosis
A43.1	1	Cutaneous nocardiosis	Cutaneous nocardiosis
A43.8	1	Other forms of nocardiosis	Other forms of nocardiosis
A43.9	1	Nocardiosis, unspecified	Nocardiosis, unspecified
A44	0	Bartonellosis	Bartonellosis
A44.0	1	Systemic bartonellosis	Systemic bartonellosis
A44.1	1	Cutaneous and mucocutaneous bartonellosis	Cutaneous and mucocutaneous bartonellosis
A44.8	1	Other forms of bartonellosis	Other forms of bartonellosis
A44.9	1	Bartonellosis, unspecified	Bartonellosis, unspecified
A46	1	Erysipelas	Erysipelas
A48	0	Other bacterial diseases, not elsewhere classified	Other bacterial diseases, not elsewhere classified
A48.0	1	Gas gangrene	Gas gangrene
A48.1	1	Legionnaires' disease	Legionnaires' disease
A48.2	1	Nonpneumonic Legionnaires' disease [Pontiac fever]	Nonpneumonic Legionnaires' disease [Pontiac fever]
A48.3	1	Toxic shock syndrome	Toxic shock syndrome
A48.4	1	Brazilian purpuric fever	Brazilian purpuric fever
A48.5	0	Other specified botulism	Other specified botulism
A48.51	1	Infant botulism	Infant botulism
A48.52	1	Wound botulism	Wound botulism
A48.8	1	Other specified bacterial diseases	Other specified bacterial diseases
A49	0	Bacterial infection of unspecified site	Bacterial infection of unspecified site
A49.0	0	Staphylococcal infection, unspecified site	Staphylococcal infection, unspecified site
A49.01	1	Methicillin suscep staph infection, unsp site	Methicillin susceptible Staphylococcus aureus infection, unspecified site
A49.02	1	Methicillin resis staph infection, unsp site	Methicillin resistant Staphylococcus aureus infection, unspecified site
A49.1	1	Streptococcal infection, unspecified site	Streptococcal infection, unspecified site
A49.2	1	Hemophilus influenzae infection, unspecified site	Hemophilus influenzae infection, unspecified site
A49.3	1	Mycoplasma infection, unspecified site	Mycoplasma infection, unspecified site
A49.8	1	Other bacterial infections of unspecified site	Other bacterial infections of unspecified site
A49.9	1	Bacterial infection, unspecified	Bacterial infection, unspecified
A50	0	Congenital syphilis	Congenital syphilis
A50.0	0	Early congenital syphilis, symptomatic	Early congenital syphilis, symptomatic
A50.01	1	Early congenital syphilitic oculopathy	Early congenital syphilitic oculopathy
A50.02	1	Early congenital syphilitic osteochondropathy	Early congenital syphilitic osteochondropathy
A50.03	1	Early congenital syphilitic pharyngitis	Early congenital syphilitic pharyngitis
A50.04	1	Early congenital syphilitic pneumonia	Early congenital syphilitic pneumonia
A50.05	1	Early congenital syphilitic rhinitis	Early congenital syphilitic rhinitis
A50.06	1	Early cutaneous congenital syphilis	Early cutaneous congenital syphilis
A50.07	1	Early mucocutaneous congenital syphilis	Early mucocutaneous congenital syphilis
A50.08	1	Early visceral congenital syphilis	Early visceral congenital syphilis
A50.09	1	Other early congenital syphilis, symptomatic	Other early congenital syphilis, symptomatic
A50.1	1	Early congenital syphilis, latent	Early congenital syphilis, latent
A50.2	1	Early congenital syphilis, unspecified	Early congenital syphilis, unspecified
A50.3	0	Late congenital syphilitic oculopathy	Late congenital syphilitic oculopathy
A50.30	1	Late congenital syphilitic oculopathy, unspecified	Late congenital syphilitic oculopathy, unspecified
A50.31	1	Late congenital syphilitic interstitial keratitis	Late congenital syphilitic interstitial keratitis
A50.32	1	Late congenital syphilitic chorioretinitis	Late congenital syphilitic chorioretinitis
A50.39	1	Other late congenital syphilitic oculopathy	Other late congenital syphilitic oculopathy
A50.4	0	Late congenital neurosyphilis [juvenile neurosyphilis]	Late congenital neurosyphilis [juvenile neurosyphilis]
A50.40	1	Late congenital neurosyphilis, unspecified	Late congenital neurosyphilis, unspecified
A50.41	1	Late congenital syphilitic meningitis	Late congenital syphilitic meningitis
A50.42	1	Late congenital syphilitic encephalitis	Late congenital syphilitic encephalitis
A50.43	1	Late congenital syphilitic polyneuropathy	Late congenital syphilitic polyneuropathy
A50.44	1	Late congenital syphilitic optic nerve atrophy	Late congenital syphilitic optic nerve atrophy
A50.45	1	Juvenile general paresis	Juvenile general paresis
A50.49	1	Other late congenital neurosyphilis	Other late congenital neurosyphilis
A50.5	0	Other late congenital syphilis, symptomatic	Other late congenital syphilis, symptomatic
A50.51	1	Clutton's joints	Clutton's joints
A50.52	1	Hutchinson's teeth	Hutchinson's teeth
A50.53	1	Hutchinson's triad	Hutchinson's triad
A50.54	1	Late congenital cardiovascular syphilis	Late congenital cardiovascular syphilis
A50.55	1	Late congenital syphilitic arthropathy	Late congenital syphilitic arthropathy
A50.56	1	Late congenital syphilitic osteochondropathy	Late congenital syphilitic osteochondropathy
A50.57	1	Syphilitic saddle nose	Syphilitic saddle nose
A50.59	1	Other late congenital syphilis, symptomatic	Other late congenital syphilis, symptomatic
A50.6	1	Late congenital syphilis, latent	Late congenital syphilis, latent
A50.7	1	Late congenital syphilis, unspecified	Late congenital syphilis, unspecified
A50.9	1	Congenital syphilis, unspecified	Congenital syphilis, unspecified
A51	0	Early syphilis	Early syphilis
A51.0	1	Primary genital syphilis	Primary genital syphilis
A51.1	1	Primary anal syphilis	Primary anal syphilis
A51.2	1	Primary syphilis of other sites	Primary syphilis of other sites
A51.3	0	Secondary syphilis of skin and mucous membranes	Secondary syphilis of skin and mucous membranes
A51.31	1	Condyloma latum	Condyloma latum
A51.32	1	Syphilitic alopecia	Syphilitic alopecia
A51.39	1	Other secondary syphilis of skin	Other secondary syphilis of skin
A51.4	0	Other secondary syphilis	Other secondary syphilis
A51.41	1	Secondary syphilitic meningitis	Secondary syphilitic meningitis
A51.42	1	Secondary syphilitic female pelvic disease	Secondary syphilitic female pelvic disease
A51.43	1	Secondary syphilitic oculopathy	Secondary syphilitic oculopathy
A51.44	1	Secondary syphilitic nephritis	Secondary syphilitic nephritis
A51.45	1	Secondary syphilitic hepatitis	Secondary syphilitic hepatitis
A51.46	1	Secondary syphilitic osteopathy	Secondary syphilitic osteopathy
A51.49	1	Other secondary syphilitic conditions	Other secondary syphilitic conditions
A51.5	1	Early syphilis, latent	Early syphilis, latent
A51.9	1	Early syphilis, unspecified	Early syphilis, unspecified
